fc45x14,,fc18x14,,fc30x57,
X,Y,X,Y,X,Y
0.06983655274888559,0.001941747572815622,0.0713224368499257,0.001941747572815622,0.17682020802377413,0.001941747572815622
0.08320950965824667,0.20000000000000018,0.08766716196136703,0.09902912621359228,0.21396731054977713,0.16893203883495167
0.09361069836552749,0.3650485436893205,0.10104011887072809,0.15533980582524287,0.24517087667161963,0.28155339805825264
0.09658246656760772,0.4524271844660196,0.7563150074294205,0.18252427184466025,0.7533432392273403,0.304854368932039
0.7622585438335809,0.47378640776699044,0.8023774145616642,0.3514563106796118,0.8023774145616642,0.46407766990291277
0.8008915304606241,0.5689320388349516,0.8974739970282319,0.6990291262135925,0.9019316493313523,0.759223300970874
0.9004457652303122,0.7980582524271846,1.0014858841010403,1.0000000000000002,1.0014858841010403,1.0000000000000002
1,1.0000000000000002,







